aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
510	510	208	346	0	82	115	0	3	1887
511	511	478	758	0	158	242	0	5	1887
512	512	572	720	0	266	296	0	1	1887
513	513	179	265	0	48	81	0	0	1887
514	514	3329	3516	0	1887	1918	0	0	1887
515	515	424	627	0	136	211	0	4	1887
516	516	1258	1378	0	600	641	0	2	1887
517	517	1302	1399	0	660	684	0	1	1887
518	518	747	882	0	323	372	0	5	1887
519	519	388	477	0	162	186	0	0	1887
520	520	1950	2081	0	1086	1111	0	0	1887
521	521	230	356	0	85	118	0	8	1887
522	522	2838	2968	0	1585	1605	0	0	1887
523	523	455	547	0	222	241	0	1	1887
524	524	686	849	0	248	317	0	8	1887
525	525	3693	3779	0	2044	2062	0	0	2307
526	526	1704	1890	0	829	897	0	4	1950
527	527	340	432	0	154	170	0	0	2307
528	528	220	310	0	92	107	0	0	2307
529	529	826	916	0	409	431	0	0	1950
530	530	8805	8868	0	4402	4430	0	0	1950
531	531	268	297	0	98	112	0	0	1950
532	532	1563	1618	0	884	897	0	1	2307
533	533	607	659	0	271	287	0	1	2844
534	534	140	213	0	44	57	0	0	2844
535	535	159	256	0	48	71	0	0	2844
536	536	521	559	0	263	273	0	0	2844
537	537	775	825	0	397	412	0	1	2844
538	538	781	852	0	413	421	0	0	2844
539	539	141	165	0	49	57	0	0	2844
540	540	627	653	0	321	329	0	0	2844
541	541	327	443	0	139	161	0	0	2010
542	542	70	145	0	15	23	0	0	2844
543	543	145	177	0	53	62	0	0	2844
544	544	4686	4852	0	2494	2552	0	0	2844
545	545	3535	3784	0	1819	1914	0	13	1464
546	546	613	734	0	286	318	0	2	2844
547	547	952	1613	0	371	598	0	4	1887
548	548	27846	28251	0	13825	13930	0	6	2085
549	549	282	371	0	117	135	0	0	2844
550	550	284	487	0	64	130	0	3	2085
551	551	67	190	0	14	38	0	0	1809
552	552	106	255	0	27	89	0	0	2085
553	553	118	246	0	32	61	0	1	1809
554	554	149	234	0	31	60	0	2	1809
555	555	49	130	0	8	21	0	0	1809
556	556	254	471	0	83	137	0	6	1809
557	557	371	817	0	86	217	0	0	1809
558	558	240	420	0	62	128	0	5	2085
559	559	67	120	0	14	32	0	2	1809
560	560	106	286	0	27	88	0	0	2085
561	561	497	856	0	217	343	0	0	2844
562	562	239	617	0	71	268	0	9	2844
563	563	75	92	0	17	23	0	0	43
564	564	248	298	0	63	89	0	0	2085
565	565	319	482	0	106	152	0	1	2844
566	566	518	620	0	258	272	0	0	2844
567	567	362	486	0	140	166	0	1	2844
568	568	508	579	0	253	262	0	0	2844
569	569	5245	5404	0	2689	2737	0	0	2844
570	570	166	253	0	54	75	0	0	2844
571	571	1103	1369	0	581	651	0	0	2844
572	572	2740	2945	0	1495	1570	0	4	2844
573	573	1030	1110	0	506	531	0	0	2844
574	574	218	288	0	89	96	0	0	2844
575	575	775	871	0	350	379	0	3	2844
576	576	1512	1585	0	764	784	0	1	2844
577	577	720	913	0	310	392	0	5	3476
578	578	269	348	0	83	107	0	3	3200
579	579	216	233	0	89	95	0	0	2844
